,day,day_str,direction,hour,hour_str,is_eight,is_eighteen,is_nine,is_seventeen,minute,minute_str,time,tollgate_id,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,volume0,volume1,volume2,volume3,volume4,volume5,volume5_0,volume5_1,volume5_2,volume5_3,week,week_str,weekend,y
0,26.0,26D,entry,3.0,3H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 00:00:00,1S,13.0,10.0,26.0,2.0,6.0,17.0,9.0,6.0,11.0,2.0,2.0,7.0,2.0,7.0,6.0,10.0,0.0,0W,0.0,9.0
1,26.0,26D,entry,3.0,3H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 00:20:00,1S,10.0,26.0,2.0,6.0,17.0,22.0,6.0,11.0,2.0,2.0,7.0,8.0,5.0,4.0,6.0,7.0,0.0,0W,0.0,6.0
2,26.0,26D,entry,3.0,3H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 00:40:00,1S,26.0,2.0,6.0,17.0,22.0,25.0,11.0,2.0,2.0,7.0,8.0,9.0,10.0,5.0,10.0,10.0,0.0,0W,0.0,8.0
3,26.0,26D,entry,4.0,4H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 01:00:00,1S,2.0,6.0,17.0,22.0,25.0,21.0,2.0,2.0,7.0,8.0,9.0,5.0,8.0,9.0,6.0,6.0,0.0,0W,0.0,7.0
4,26.0,26D,entry,4.0,4H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 01:20:00,1S,6.0,17.0,22.0,25.0,21.0,24.0,2.0,7.0,8.0,9.0,5.0,9.0,5.0,8.0,5.0,9.0,0.0,0W,0.0,13.0
5,26.0,26D,entry,4.0,4H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 01:40:00,1S,17.0,22.0,25.0,21.0,24.0,17.0,7.0,8.0,9.0,5.0,9.0,6.0,6.0,13.0,6.0,4.0,0.0,0W,0.0,13.0
6,26.0,26D,entry,5.0,5H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 02:00:00,1S,22.0,25.0,21.0,24.0,17.0,20.0,8.0,9.0,5.0,9.0,6.0,8.0,11.0,10.0,10.0,9.0,0.0,0W,0.0,6.0
7,26.0,26D,entry,5.0,5H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 02:20:00,1S,25.0,21.0,24.0,17.0,20.0,9.0,9.0,5.0,9.0,6.0,8.0,7.0,7.0,7.0,16.0,10.0,0.0,0W,0.0,4.0
8,26.0,26D,entry,5.0,5H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 02:40:00,1S,21.0,24.0,17.0,20.0,9.0,22.0,5.0,9.0,6.0,8.0,7.0,13.0,7.0,11.0,14.0,13.0,0.0,0W,0.0,10.0
9,26.0,26D,entry,6.0,6H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 03:00:00,1S,24.0,17.0,20.0,9.0,22.0,26.0,9.0,6.0,8.0,7.0,13.0,13.0,13.0,15.0,11.0,12.0,0.0,0W,0.0,13.0
10,26.0,26D,entry,6.0,6H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 03:20:00,1S,17.0,20.0,9.0,22.0,26.0,8.0,6.0,8.0,7.0,13.0,13.0,6.0,9.0,6.0,10.0,2.0,0.0,0W,0.0,23.0
11,26.0,26D,entry,6.0,6H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 03:40:00,1S,20.0,9.0,22.0,26.0,8.0,5.0,8.0,7.0,13.0,13.0,6.0,4.0,6.0,5.0,14.0,8.0,0.0,0W,0.0,39.0
12,26.0,26D,entry,7.0,7H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 04:00:00,1S,9.0,22.0,26.0,8.0,5.0,13.0,7.0,13.0,13.0,6.0,4.0,10.0,8.0,7.0,28.0,13.0,0.0,0W,0.0,44.0
13,26.0,26D,entry,7.0,7H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 04:20:00,1S,22.0,26.0,8.0,5.0,13.0,15.0,13.0,13.0,6.0,4.0,10.0,13.0,10.0,12.0,36.0,8.0,0.0,0W,0.0,39.0
14,26.0,26D,entry,7.0,7H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 04:40:00,1S,26.0,8.0,5.0,13.0,15.0,23.0,13.0,6.0,4.0,10.0,13.0,23.0,12.0,17.0,41.0,13.0,0.0,0W,0.0,46.0
15,26.0,26D,entry,8.0,8H,1.0,0.0,0.0,0.0,0.0,0M,2016-09-26 05:00:00,1S,8.0,5.0,13.0,15.0,23.0,49.0,6.0,4.0,10.0,13.0,23.0,39.0,26.0,32.0,75.0,32.0,0.0,0W,0.0,49.0
