,importance
vehicle_all_model,0.0231724350001
etc_all_count,0.0225864504209
passenger_model_avg2,0.0207717993085
vehicle_all_model_avg,0.0205447022982
passenger_all_model,0.0203060466762
passenger_all_count,0.019073044688
vehicle_model4,0.0172488026568
volume1,0.0169558429597
cargo_all_model_avg,0.0160651960986
passenger_all_model_avg,0.0158675924665
etc_count1,0.0156511998801
passenger_model_avg0,0.015410565952
passenger_model_avg1,0.0153406831926
vehicle_model_avg1,0.0151834971642
volume2,0.0151481717245
passenger_model2,0.0150873090228
etc_count3,0.0150136558281
etc_count4,0.0147362297288
vehicle_model_avg0,0.0145039038209
vehicle_model_avg2,0.0143066746337
vehicle_model0,0.0141886105609
cargo_all_model,0.0141124515607
passenger_model_avg5,0.0140112165508
cargo_model_avg2,0.013670086709
cargo_model_avg5,0.0136618638518
vehicle_model1,0.0136230771727
volume_all,0.0136179560394
cargo_model5,0.0131461414178
vehicle_model_avg3,0.0130069379379
cargo_model0,0.0129844193872
vehicle_model_avg4,0.0129271228692
passenger_model1,0.0129051432829
passenger_model0,0.0128121567933
passenger_model_avg3,0.0125820576675
passenger_count4,0.0122409506963
vehicle_model_avg5,0.0120741385778
passenger_count1,0.0119477143707
volume4,0.0118774866111
cargo_model_avg0,0.0118666077696
volume0,0.0118602302454
passenger_min_model,0.0118254701257
vehicle_min_model,0.0117062776583
cargo_model_avg4,0.0116510545249
vehicle_model3,0.0115512624527
passenger_model3,0.0113865335396
cargo_model2,0.0109879161567
cargo_model4,0.0109481890675
passenger_model_avg4,0.0108983373388
etc_min_count,0.0107548645168
etc_max_count,0.0107385482246
passenger_min_count,0.0107264763613
day,0.0107010064036
hour,0.0106572484419
cargo_model1,0.0104820033128
etc_count2,0.0104378898861
vehicle_model5,0.0104370325599
cargo_model3,0.010364766818
etc_count0,0.0103337241346
cargo_model_avg3,0.0100748629789
vehicle_model2,0.0100684842386
cargo_model_avg1,0.0100458845336
etc_count5,0.00975051215849
volume_min,0.00936751980302
cargo_all_count,0.00886297053802
passenger_count2,0.00866113271694
vehicle_max_model,0.00795557832623
passenger_count0,0.00740541214621
volume5,0.00730538589935
cargo_max_model,0.00713192181443
cargo_count3,0.00671402490707
volume3,0.00668870675426
cargo_count2,0.00660968117014
passenger_max_count,0.00654069038992
passenger_model5,0.00645705382358
passenger_model4,0.00619051709218
passenger_count5,0.00615360198783
cargo_max_count,0.00611448251992
cargo_count5,0.00607559106037
passenger_count3,0.00605856185017
cargo_min_model,0.00588936002868
cargo_count1,0.00563846854185
cargo_count0,0.00547876121307
volume_max,0.00533752293891
week,0.00485178477012
passenger_max_model,0.00465040036981
cargo_count4,0.00309827993505
minute,0.00303271089336
cargo_min_count,0.0026727938399
weekend,0.00043856564312
no_min_count,0.0
no_max_count,0.0
no_all_count,0.0
no_count5,0.0
no_count4,0.0
no_count3,0.0
no_count2,0.0
no_count1,0.0
no_count0,0.0
