,importance
cargo_model3,0.0243594009225
volume0,0.0228870186311
cargo_all_model,0.0227392316831
cargo_model0,0.0220895854454
volume4,0.0220333440289
cargo_all_count,0.0204861272908
cargo_model2,0.019938394999
vehicle_model3,0.0197223063506
volume5,0.0191855268996
vehicle_model_avg1,0.0184024775399
volume3,0.0180297221164
vehicle_model_avg4,0.0175146654393
vehicle_model_avg3,0.017110050396
vehicle_model_avg0,0.0164178245801
vehicle_model_avg5,0.0159766391201
vehicle_model0,0.0157040790844
vehicle_model2,0.01544267892
vehicle_all_model_avg,0.0148580371547
cargo_model5,0.014775683018
vehicle_all_model,0.0146768838006
passenger_all_model_avg,0.0146414118417
passenger_model5,0.0141139147728
vehicle_model5,0.0137101470701
vehicle_model4,0.0136833964416
volume1,0.0136494936426
passenger_model3,0.0135360878551
passenger_count3,0.0135247893144
cargo_model1,0.0135111071174
volume2,0.0131425208239
vehicle_model_avg2,0.0127749216698
cargo_all_model_avg,0.0127648624882
etc_all_count,0.0127241661891
etc_count1,0.0125452954114
cargo_count0,0.0120000260095
cargo_model_avg1,0.0117396503143
cargo_max_model,0.01167697225
cargo_model_avg5,0.011313457406
cargo_count4,0.011268622282
cargo_model_avg4,0.0108966237971
vehicle_model1,0.0108198671673
vehicle_min_model,0.0107471813716
passenger_count2,0.0107003119561
passenger_model0,0.0106567906297
hour,0.00964937030623
cargo_model_avg0,0.00958339521924
passenger_all_count,0.00939448676754
passenger_model_avg3,0.00938187457845
cargo_model4,0.00887312444326
cargo_count3,0.00878781709569
cargo_model_avg2,0.00874663637839
day,0.00865220626087
passenger_model2,0.00842388794989
passenger_count5,0.00829994899174
etc_count3,0.00824092284575
no_count1,0.00817731237353
cargo_model_avg3,0.00802933559166
passenger_model_avg0,0.00795375438025
cargo_min_count,0.00793387101292
volume_all,0.00788380954976
cargo_min_model,0.00787728039696
etc_count2,0.00784869463112
passenger_count4,0.00768900549347
passenger_model4,0.00751323909276
passenger_count1,0.00715039829097
cargo_count1,0.00710524823633
passenger_model1,0.00709789445822
passenger_model_avg2,0.00695417925467
passenger_all_model,0.00667085865736
volume_min,0.00663345555017
cargo_count2,0.00663239431404
passenger_min_model,0.00648434159279
passenger_model_avg1,0.00629442855998
passenger_count0,0.00614395931574
etc_count0,0.00609295145379
passenger_model_avg4,0.00600518774139
vehicle_max_model,0.00594532725556
volume_max,0.00586089581088
etc_count5,0.00566128895788
cargo_max_count,0.00542849287572
passenger_min_count,0.00519824633386
etc_count4,0.00516748429426
cargo_count5,0.00512176054819
passenger_model_avg5,0.00500779191483
no_count3,0.00460762122457
passenger_max_model,0.00434520366752
passenger_max_count,0.00434461383898
week,0.00419826135615
no_count0,0.00393779018666
no_count4,0.00382515070113
minute,0.00376618439397
no_max_count,0.00375233737984
no_all_count,0.00362244995319
etc_min_count,0.00315705322068
no_count2,0.00302748780017
no_count5,0.00284893680989
etc_max_count,0.00275513567562
no_min_count,0.00172391977308
weekend,0.0
