,importance
vehicle_all_model,0.0290889358594
etc_all_count,0.0259852189754
vehicle_model1,0.024668009355
vehicle_all_model_avg,0.0233084152177
etc_count3,0.0228044456367
passenger_count2,0.0223188397246
vehicle_model_avg5,0.0216085111588
vehicle_model_avg1,0.0208782155221
etc_count0,0.0203983880368
vehicle_model_avg4,0.0202013246127
passenger_min_count,0.0200882908098
vehicle_model4,0.0199323771666
etc_count2,0.0197514659278
vehicle_model_avg0,0.0191210536709
passenger_min_model,0.0187540251236
etc_count4,0.0185330975051
passenger_model3,0.0180973262483
vehicle_model2,0.0176723394416
vehicle_model3,0.0170813023412
etc_count1,0.0166467776928
etc_max_count,0.0165903032411
volume3,0.0160690927484
vehicle_model5,0.0157783067068
passenger_all_model,0.0157759352464
volume2,0.0155406584998
etc_min_count,0.0153528540482
etc_count5,0.0150645623939
passenger_all_model_avg,0.0150405057362
passenger_model2,0.0139095098048
vehicle_max_model,0.0138932901039
volume_all,0.0134295735723
vehicle_model_avg3,0.0133971547674
volume_max,0.0132920896648
passenger_count3,0.0129901422987
passenger_model1,0.012220257781
cargo_all_model_avg,0.0121966016289
volume1,0.0117351125928
day,0.0113608762234
vehicle_model_avg2,0.0113092016585
passenger_all_count,0.010574470771
volume5,0.0102882530417
volume0,0.0102068445952
cargo_all_model,0.0101750755951
passenger_count4,0.00987996023661
passenger_model0,0.00987210302375
volume_min,0.00946802297402
cargo_model5,0.00838092305519
vehicle_model0,0.00837487197615
vehicle_min_model,0.00826880274052
passenger_model_avg0,0.00819074115194
volume4,0.00799107330418
passenger_count1,0.00784105573233
cargo_count4,0.00778866867846
hour,0.00776854132732
passenger_count5,0.00770168925167
cargo_max_model,0.00769760613872
passenger_model5,0.00762739584879
passenger_model4,0.00751493559207
cargo_count3,0.00718128346777
cargo_model2,0.00688585793605
passenger_model_avg1,0.00673421676268
cargo_model1,0.0066663207987
cargo_model4,0.00618100236977
cargo_count5,0.00613812815053
passenger_max_count,0.00593490388818
week,0.00585771931439
cargo_count1,0.0057884678105
no_count3,0.00561418607249
passenger_count0,0.00549914484945
cargo_model_avg4,0.00545077244231
passenger_model_avg3,0.00544687662508
cargo_model_avg3,0.00532566464811
cargo_all_count,0.00517592541095
cargo_model_avg2,0.00489230284543
cargo_model3,0.00457876948867
passenger_max_model,0.00457116260872
cargo_max_count,0.00443066588686
cargo_min_model,0.004177923279
passenger_model_avg4,0.00413978818903
cargo_model0,0.00403705686244
cargo_model_avg5,0.00401656196046
cargo_model_avg0,0.00390141858631
cargo_count2,0.00388082750158
passenger_model_avg2,0.00324443676587
cargo_count0,0.0031400019831
cargo_min_count,0.00304022758367
minute,0.0029729512087
passenger_model_avg5,0.0026930660327
cargo_model_avg1,0.00199906012296
no_count2,0.00107188594111
no_count5,0.000449551780673
no_count0,0.000428665582622
no_max_count,0.000377264199516
no_all_count,0.000251740297404
no_count1,0.000234113295731
weekend,9.46636713802e-05
no_min_count,0.0
no_count4,0.0
