,importance
vehicle_all_model,0.0413039283063
passenger_all_count,0.0310740803124
passenger_min_model,0.025214192305
passenger_count3,0.0233236901562
passenger_model3,0.021383503033
volume2,0.020382162109
passenger_count4,0.018573669067
volume_all,0.0184883239571
vehicle_model5,0.0180545774123
volume_min,0.017958085107
vehicle_model_avg4,0.0173297554264
passenger_model2,0.0172972917148
passenger_all_model,0.0169710399394
vehicle_min_model,0.0165443061184
passenger_min_count,0.0147590389185
vehicle_model_avg5,0.014713202441
cargo_all_count,0.0143633206974
vehicle_model4,0.0138076634959
volume3,0.0137523304259
vehicle_model3,0.0136746458121
vehicle_model2,0.0136711030391
cargo_all_model_avg,0.0129855912832
passenger_count5,0.0127837301274
volume4,0.0126889804001
passenger_all_model_avg,0.0123331105881
etc_all_count,0.0121369608232
cargo_model_avg4,0.0120744814437
volume0,0.0119882833266
cargo_model_avg3,0.0119288086566
cargo_model_avg2,0.0117605841553
cargo_all_model,0.0117241937755
passenger_count1,0.0114766295487
cargo_model_avg0,0.0114597775066
passenger_model_avg2,0.0114473827882
vehicle_model_avg0,0.0113865302478
volume1,0.0113016838305
volume5,0.0112686722488
vehicle_model0,0.0111230930898
day,0.0108984243955
passenger_count2,0.0108025259014
vehicle_model1,0.0107493729868
passenger_count0,0.0105937452022
passenger_model4,0.0105823367991
cargo_model_avg5,0.0103945288346
vehicle_model_avg1,0.0103358285221
passenger_model_avg4,0.0103352018246
vehicle_model_avg3,0.0103270143681
cargo_model2,0.0101231909447
passenger_model5,0.0100275012224
cargo_max_count,0.00992006364673
cargo_model5,0.00988527509734
passenger_model_avg3,0.00976382194883
cargo_count5,0.0097618479298
passenger_model1,0.00937241528233
cargo_model_avg1,0.00936571033311
passenger_model_avg1,0.00924909459971
etc_count4,0.00901425571137
vehicle_model_avg2,0.00892831927588
passenger_model_avg0,0.00881464263291
passenger_model_avg5,0.00861442224545
vehicle_all_model_avg,0.00856004343404
etc_count2,0.008202091387
cargo_max_model,0.0080849048216
cargo_model0,0.00791622207894
etc_count3,0.00779590551171
hour,0.00766555598101
etc_count5,0.00751832253128
cargo_count1,0.00743967926764
cargo_model3,0.00722719714788
etc_min_count,0.00708303953706
vehicle_max_model,0.00705359954144
cargo_model4,0.0069555876287
cargo_model1,0.00689775411845
cargo_min_model,0.00651489749044
volume_max,0.0064024791689
passenger_max_count,0.00609227131698
cargo_count0,0.00589291408203
cargo_count2,0.00578781562788
etc_count0,0.00561242971911
passenger_model0,0.00539721889257
passenger_max_model,0.00509491810303
cargo_min_count,0.00507777392716
week,0.00506456831279
cargo_count3,0.00501423338728
etc_count1,0.00487174440863
minute,0.00449129171875
etc_max_count,0.00393034495523
cargo_count4,0.00393033207061
weekend,5.69204927756e-05
no_min_count,0.0
no_count0,0.0
no_max_count,0.0
no_count2,0.0
no_count3,0.0
no_count4,0.0
no_count5,0.0
no_all_count,0.0
no_count1,0.0
